symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-03-05,292.92,299.55,291.41,295.52,46893219,72.3309527677,73.9681035831,71.9580873482,72.9729726953,187572876,0.0,1.0
AAPL,2020-03-06,289.03,290.82,281.23,282.0,56544246,71.3703921837,71.8123982107,69.4443324008,69.6344690717,226176984,0.0,1.0
AAPL,2020-03-09,266.17,278.09,263.0,263.75,71686208,65.7255554355,68.6689698729,64.9427849853,65.1279830413,286744832,0.0,1.0
AAPL,2020-03-10,285.34,286.44,269.37,277.14,71322520,70.4592177479,70.7308415635,66.5157338079,68.4343856685,285290080,0.0,1.0
AAPL,2020-03-11,275.43,281.22,271.86,277.39,64094970,68.0121341008,69.4418630934,67.130591354,68.4961183539,256379880,0.0,1.0
AAPL,2020-03-12,248.23,270.0,248.0,255.94,104618517,61.295617935,66.671300175,61.2388238645,63.1994539511,418474068,0.0,1.0
AAPL,2020-03-13,277.97,279.92,252.95,264.89,92683032,68.6393381839,69.1208531296,62.4611310343,65.4094840865,370732128,0.0,1.0
AAPL,2020-03-16,242.21,259.08,240.0,241.95,80605865,59.8090948718,63.9748164791,59.2633779333,59.7448928791,322423460,0.0,1.0
AAPL,2020-03-17,252.86,257.61,238.4,247.51,81013965,62.4389072676,63.6118282892,58.8682887471,61.1178278012,324055860,0.0,1.0
AAPL,2020-03-18,246.67,250.0,237.12,239.77,75058406,60.9104059784,61.7326853472,58.5522173981,59.2065838628,300233624,0.0,1.0
AAPL,2020-03-19,244.78,252.84,242.61,247.39,67964255,60.4437068772,62.4339686528,59.9078671684,61.0881961122,271857020,0.0,1.0
AAPL,2020-03-20,229.24,251.83,228.0,247.18,100423346,56.606403156,62.184568604,56.3002090367,61.0363406565,401693384,0.0,1.0
AAPL,2020-03-23,224.37,228.5,212.61,228.08,84188208,55.4038504454,56.4236744074,52.4999449267,56.319963496,336752832,0.0,1.0
AAPL,2020-03-24,246.88,247.69,234.3,236.36,71882773,60.9622614341,61.1622753346,57.8558727074,58.3645500347,287531092,0.0,1.0
AAPL,2020-03-25,245.52,258.25,244.3,250.75,75900510,60.6264356258,63.7698639637,60.3251801213,61.9178834033,303602040,0.0,1.0
AAPL,2020-03-26,258.44,258.68,246.36,246.52,63140169,63.8167808046,63.8760441825,60.8338574486,60.8733663672,252560676,0.0,1.0
AAPL,2020-03-27,247.74,255.87,247.05,252.75,51054153,61.1746218717,63.1821687992,61.0042396601,62.4117448861,204216612,0.0,1.0
AAPL,2020-03-30,254.81,255.52,249.4,250.74,41994110,62.9204222133,63.0957430397,61.5845269024,61.9154140959,167976440,0.0,1.0
AAPL,2020-03-31,254.29,262.49,252.0,255.6,49250501,62.7920182278,64.8168503072,62.22654683,63.115497499,197002004,0.0,1.0
AAPL,2020-04-01,240.91,248.72,239.13,246.5,44054638,59.488084908,61.4166139983,59.0485481883,60.8684277524,176218552,0.0,1.0
AAPL,2020-04-02,244.93,245.15,236.9,240.34,41483493,60.4807464884,60.5350712515,58.497892635,59.3473343854,165933972,0.0,1.0
AAPL,2020-04-03,241.41,245.7,238.97,242.8,32470017,59.6115502787,60.6708831593,59.0090392697,59.9547840092,129880068,0.0,1.0
